image,wrapped,gt_count,pred_raw,pred_cal
image5.jpg,True,180,627,51
image6.jpg,True,180,1128,52
image7.jpg,True,60,212,50
image8.jpg,True,60,532,51
image9.jpg,True,60,0,50
image10.jpg,True,60,0,50
image11.jpg,True,60,0,50
image12.jpg,True,60,0,50
image13.jpeg,True,47,1288,52
image14.jpeg,True,47,1622,52
image15.jpeg,True,21,1,50
image16.jpeg,True,21,17,50
image18.jpg,True,52,106,50
image19.jpeg,True,38,1284,52
image20.jpeg,True,38,1424,52
image21.jpeg,True,22,285,50
image22.jpeg,True,22,130,50
image1.jpeg,False,52,3026,55
image2.jpeg,False,52,2975,55
image3.jpeg,False,22,1097,52
image4.jpeg,False,22,0,50
image5.jpeg,False,21,0,50
image6.jpeg,False,21,0,50
image7.jpeg,False,47,2887,55
image8.jpeg,False,47,2968,55
image9.jpeg,False,38,2365,54
image10.jpeg,False,38,2339,54
